Sample_name;Sample;Sample_type;Category;  log_pop_sample  ;Unity
8977;8977;Inoc_strain;8977; 7.7481880270062 ;log(UFC)/sample
8977;8977;Inoc_strain;8977; 7.65127801399814 ;log(UFC)/sample
8987;8987;Inoc_strain;8987;#VALEUR!;log(UFC)/sample
8987;8987;Inoc_strain;8987; 8.15228834438306 ;log(UFC)/sample
8988;8988;Inoc_strain;8988;#VALEUR!;log(UFC)/sample
8988;8988;Inoc_strain;8988; 8.27875360095283 ;log(UFC)/sample
8991;8991;Inoc_strain;8991;#VALEUR!;log(UFC)/sample
8991;8991;Inoc_strain;8991; 8.07188200730613 ;log(UFC)/sample
8992;8992;Inoc_strain;8992;#VALEUR!;log(UFC)/sample
8992;8992;Inoc_strain;8992; 8.26481782300954 ;log(UFC)/sample
8993;8993;Inoc_strain;8993;#VALEUR!;log(UFC)/sample
8993;8993;Inoc_strain;8993; 8.34635297445064 ;log(UFC)/sample
8994;8994;Inoc_strain;8994;#VALEUR!;log(UFC)/sample
8994;8994;Inoc_strain;8994; 8.20411998265593 ;log(UFC)/sample
8995;8995;Inoc_strain;8995;#VALEUR!;log(UFC)/sample
8995;8995;Inoc_strain;8995; 8.04921802267018 ;log(UFC)/sample
9003;9003;Inoc_strain;9003; 8.15836249209525 ;log(UFC)/sample
9003;9003;Inoc_strain;9003; 8.27415784926368 ;log(UFC)/sample
9012;9012;Inoc_strain;9012; 7.65321251377534 ;log(UFC)/sample
9012;9012;Inoc_strain;9012; 8.32221929473392 ;log(UFC)/sample
9014;9014;Inoc_strain;9014; 6.95424250943933 ;log(UFC)/sample
9014;9014;Inoc_strain;9014; 6.56348108539441 ;log(UFC)/sample
9019;9019;Inoc_strain;9019; 7.85733249643127 ;log(UFC)/sample
9019;9019;Inoc_strain;9019; 7.72754125702856 ;log(UFC)/sample
9020;9020;Inoc_strain;9020; 8.18752072083646 ;log(UFC)/sample
9020;9020;Inoc_strain;9020; 8.12710479836481 ;log(UFC)/sample
9023;9023;Inoc_strain;9023; 8.70243053644553 ;log(UFC)/sample
9023;9023;Inoc_strain;9023; 8.67209785793572 ;log(UFC)/sample
C8H;8;Inoc_SynCom; 8.24643604514154 ; 8.30535136944662 ;log(UFC)/sample
C8H;8;Inoc_SynCom; 8.24643604514154 ; 8.18752072083646 ;log(UFC)/sample
C7H;7;Inoc_SynCom; 6.81774187340745 ; 6.90308998699194 ;log(UFC)/sample
C7H;7;Inoc_SynCom; 6.81774187340745 ; 6.73239375982297 ;log(UFC)/sample
C6H;6;Inoc_SynCom; 5.37042083788636 ; 5.57978359661681 ;log(UFC)/sample
C6H;6;Inoc_SynCom; 5.70614625466153 ; 5.83250891270624 ;log(UFC)/sample
C5H;5;Inoc_SynCom; 4.65051499783199 ; 4.69897000433602 ;log(UFC)/sample
C5H;5;Inoc_SynCom; 4.65051499783199 ; 4.60205999132796 ;log(UFC)/sample
CS5g1;5;Soaked_seed;4.65051499783199; 4.7481880270062 ;log(UFC)/sample
CS5g2;5;Soaked_seed;4.65051499783199; 5.13353890837022 ;log(UFC)/sample
CS5g3;5;Soaked_seed;4.65051499783199; 4.96378782734556 ;log(UFC)/sample
CS5g4;5;Soaked_seed;4.65051499783199; 5.13353890837022 ;log(UFC)/sample
CS5g5;5;Soaked_seed;4.65051499783199; 5.22530928172586 ;log(UFC)/sample
CS5g6;5;Soaked_seed;4.65051499783199; 5.30102999566398 ;log(UFC)/sample
CS5g7;5;Soaked_seed;4.65051499783199; 5.14612803567824 ;log(UFC)/sample
CS5g8;5;Soaked_seed;4.65051499783199; 5.13353890837022 ;log(UFC)/sample
