REP_Bio;Concentration;Maceration;Desinfection;Inoc_fluid; Rep_tech ;Pop_sample;Log_CFU_sample
1;C0;Seed_batch;Unsterilized;Water; 1  ;1E+04;4.0
1;C0;Seed_batch;Unsterilized;Alginate; 1  ;1E+04;4.0
1;C0;Seed_batch;Sterilized;Water; 1  ;1E+04;4.0
1;C0;Seed_batch;Sterilized;Alginate; 1  ;1E+04;4.0
1;C5;Seed_batch;Unsterilized;Water; 1  ;4E+05;5.57978359661681
1;C5;Seed_batch;Sterilized;Water; 1  ;2E+05;5.34242268082221
1;C6;Seed_batch;Unsterilized;Water; 1  ;5E+06;6.68124123737559
1;C6;Seed_batch;Unsterilized;Alginate; 1  ;3E+06;6.50514997831991
1;C6;Seed_batch;Sterilized;Water; 1  ;1E+07;7.02530586526477
1;C6;Seed_batch;Sterilized;Alginate; 1  ;1E+06;6.13353890837022
1;C7;Seed_batch;Unsterilized;Water; 1  ;6E+07;7.76342799356294
1;C7;Seed_batch;Sterilized;Water; 1  ;5E+07;7.68124123737559
2;C0;Seed_batch;Unsterilized;Water; 1  ;1E+02;2.0
2;C0;Seed_batch;Unsterilized;Alginate; 1  ;6E+02;2.77815125038364
2;C0;Seed_batch;Sterilized;Water; 1  ;1E+02;2.0
2;C0;Seed_batch;Sterilized;Alginate; 1  ;1E+02;2.0
2;C5;Seed_batch;Unsterilized;Water; 1  ;1E+06;6.13987908640124
2;C5;Seed_batch;Sterilized;Water; 1  ;8E+05;5.88081359228079
2;C6;Seed_batch;Unsterilized;Water; 1  ;3E+06;6.48572142648158
2;C6;Seed_batch;Unsterilized;Alginate; 1  ;6E+07;7.7481880270062
2;C6;Seed_batch;Sterilized;Water; 1  ;5E+07;7.68124123737559
2;C6;Seed_batch;Sterilized;Alginate; 1  ;2E+08;8.20951501454263
2;C7;Seed_batch;Unsterilized;Water; 1  ;1E+09;9.00860017176192
2;C7;Seed_batch;Sterilized;Water; 1  ;6E+08;8.7481880270062
3;C0;Seed_batch;Unsterilized;Water; 1  ;1E+02;2.0
3;C0;Seed_batch;Unsterilized;Alginate; 1  ;1E+02;2.0
3;C0;Seed_batch;Sterilized;Water; 1  ;1E+02;2.0
3;C0;Seed_batch;Sterilized;Alginate; 1  ;1E+02;2.0
3;C5;Seed_batch;Unsterilized;Water; 1  ;1E+06;6.04921802267018
3;C5;Seed_batch;Sterilized;Water; 1  ;6E+05;5.77815125038364
3;C6;Seed_batch;Unsterilized;Water; 1  ;1E+07;7.11394335230684
3;C6;Seed_batch;Unsterilized;Alginate; 1  ;2E+07;7.36921585741014
3;C6;Seed_batch;Sterilized;Water; 1  ;2E+07;7.22010808804005
3;C6;Seed_batch;Sterilized;Alginate; 1  ;2E+07;7.34242268082221
3;C7;Seed_batch;Unsterilized;Water; 1  ;2E+08;8.20411998265593
3;C7;Seed_batch;Sterilized;Water; 1  ;1E+08;8.13353890837022
1;C0;Single_seed;Unsterilized;Water;1;2E+01;1.30102999566398
