;pairs;Df; SumsOfSqs ;F.Model;R2;p.value;p.adjusted (BH);significance
1;0 vs 5;1; 3,72  ;17,906;0,359;0,001;0,002;*
2;0 vs 6;1; 5,00  ;27,836;0,458;0,001;0,002;*
3;0 vs 7;1; 5,39  ;33,469;0,519;0,001;0,002;*
4;0 vs 8;1; 4,62  ;25,502;0,459;0,001;0,002;*
5;5 vs 6;1; 0,34  ;2,631;0,074;0,037;0,056;
6;5 vs 7;1; 0,63  ;5,844;0,159;0,001;0,002;*
7;5 vs 8;1; 0,34  ;2,674;0,082;0,039;0,056;
8;6 vs 7;1; 0,10  ;1,226;0,037;0,250;0,278;
9;6 vs 8;1; 0,08  ;0,812;0,026;0,540;0,540;
10;7 vs 8;1; 0,12  ;1,599;0,052;0,145;0,181;
