pairs;Df;SumsOfSqs;F.Model;R2;p,value;p,adjusted (BH);significance
0 vs 11A;1;3,00;27,68;0,664;0,002;0,002;*
0 vs 11B;1;2,85;23,11;0,606;0,001;0,001;*
0 vs 11C;1;3,24;40,63;0,744;0,001;0,001;*
0 vs 3A;1;1,25;7,76;0,374;0,004;0,004;*
0 vs 3B;1;3,05;37,20;0,727;0,001;0,001;*
0 vs 3C;1;2,55;23,72;0,646;0,001;0,001;*
0 vs 5A;1;2,67;23,99;0,649;0,001;0,001;*
0 vs 5B;1;2,42;24,96;0,675;0,001;0,001;*
0 vs 5C;1;1,04;4,84;0,271;0,004;0,004;*
0 vs 8A;1;2,39;16,90;0,585;0,001;0,001;*
0 vs 8B;1;2,95;26,86;0,657;0,001;0,001;*
0 vs 8C;1;3,03;28,29;0,669;0,001;0,001;*
11A vs 11B;1;3,44;40,89;0,732;0,001;0,001;*
11A vs 11C;1;3,66;97,31;0,874;0,001;0,001;*
11A vs 3A;1;2,16;18,62;0,589;0,002;0,002;*
11A vs 3B;1;1,05;26,46;0,654;0,001;0,001;*
11A vs 3C;1;3,18;51,17;0,797;0,001;0,001;*
11A vs 5A;1;2,80;42,48;0,766;0,002;0,002;*
11A vs 5B;1;3,00;63,11;0,840;0,001;0,001;*
11A vs 5C;1;1,99;11,74;0,474;0,002;0,002;*
11A vs 8A;1;2,79;30,18;0,716;0,001;0,001;*
11A vs 8B;1;2,87;42,26;0,751;0,001;0,001;*
11A vs 8C;1;0,36;5,57;0,284;0,002;0,002;*
11B vs 11C;1;3,65;63,54;0,809;0,001;0,001;*
11B vs 3A;1;2,77;21,05;0,601;0,001;0,001;*
11B vs 3B;1;3,58;60,25;0,801;0,001;0,001;*
11B vs 3C;1;3,08;37,69;0,729;0,001;0,001;*
11B vs 5A;1;3,15;36,97;0,725;0,001;0,001;*
11B vs 5B;1;2,90;41,61;0,762;0,001;0,001;*
11B vs 5C;1;2,18;11,98;0,461;0,001;0,001;*
11B vs 8A;1;1,86;16,78;0,563;0,001;0,001;*
11B vs 8B;1;3,04;35,53;0,703;0,002;0,002;*
11B vs 8C;1;1,99;24,02;0,616;0,001;0,001;*
11C vs 3A;1;2,99;35,19;0,730;0,001;0,001;*
11C vs 3B;1;3,81;343,49;0,961;0,001;0,001;*
11C vs 3C;1;2,76;87,99;0,871;0,001;0,001;*
11C vs 5A;1;3,11;88,49;0,872;0,001;0,001;*
11C vs 5B;1;2,89;202,86;0,944;0,001;0,001;*
11C vs 5C;1;2,49;17,90;0,579;0,001;0,001;*
11C vs 8A;1;2,62;44,30;0,787;0,002;0,002;*
11C vs 8B;1;3,31;84,48;0,858;0,001;0,001;*
11C vs 8C;1;3,67;101,29;0,879;0,003;0,003;*
3A vs 3B;1;2,90;33,24;0,719;0,002;0,002;*
3A vs 3C;1;2,52;21,82;0,645;0,001;0,001;*
3A vs 5A;1;2,54;21,21;0,639;0,001;0,001;*
3A vs 5B;1;2,37;22,69;0,674;0,001;0,001;*
3A vs 5C;1;1,27;5,46;0,313;0,001;0,001;*
3A vs 8A;1;1,96;12,77;0,537;0,002;0,002;*
3A vs 8B;1;1,76;14,99;0,536;0,001;0,001;*
3A vs 8C;1;2,80;24,44;0,653;0,001;0,001;*
3B vs 3C;1;3,26;96,74;0,882;0,001;0,001;*
3B vs 5A;1;3,30;88,11;0,871;0,001;0,001;*
3B vs 5B;1;3,07;183,72;0,939;0,002;0,002;*
3B vs 5C;1;2,01;14,19;0,522;0,001;0,001;*
3B vs 8A;1;2,92;47,38;0,798;0,001;0,001;*
3B vs 8B;1;3,54;85,71;0,860;0,002;0,002;*
3B vs 8C;1;1,01;26,24;0,652;0,001;0,001;*
3C vs 5A;1;2,05;33,28;0,735;0,001;0,001;*
3C vs 5B;1;0,18;4,26;0,279;0,01;0,010;*
3C vs 5C;1;1,83;10,53;0,467;0,001;0,001;*
3C vs 8A;1;0,47;5,19;0,320;0,002;0,002;*
3C vs 8B;1;2,25;35,21;0,730;0,001;0,001;*
3C vs 8C;1;3,20;52,72;0,802;0,001;0,001;*
5A vs 5B;1;2,77;60,59;0,846;0,001;0,001;*
5A vs 5C;1;2,10;11,75;0,495;0,001;0,001;*
5A vs 8A;1;2,61;27,62;0,715;0,001;0,001;*
5A vs 8B;1;1,39;20,58;0,613;0,001;0,001;*
5A vs 8C;1;2,98;46,20;0,780;0,001;0,001;*
5B vs 5C;1;1,77;10,50;0,488;0,001;0,001;*
5B vs 8A;1;0,34;4,53;0,312;0,002;0,002;*
5B vs 8B;1;2,95;59,62;0,832;0,001;0,001;*
5B vs 8C;1;3,03;65,86;0,846;0,002;0,002;*
5C vs 8A;1;1,76;8,08;0,423;0,001;0,001;*
5C vs 8B;1;2,23;12,98;0,500;0,001;0,001;*
5C vs 8C;1;2,04;12,12;0,482;0,002;0,002;*
8A vs 8B;1;2,72;28,86;0,706;0,001;0,001;*
8A vs 8C;1;2,81;30,93;0,720;0,001;0,001;*
8B vs 8C;1;3,42;51,54;0,786;0,001;0,001;*
