Sample_ID	Soil	Native_Seed	Inoculated_Seed	Unknown	SynCom
CS0-10-21	0.010459529	0.063143257		0.926397214	Control
CS0-10-25	0.03413965	0.066349837		0.899510512	Control
CS0-11-31	0.210491015	0.035295897		0.754213088	Control
CS0-11-40	0.048214871	0.066833616		0.884951513	Control
CS0-6-1	0.041798313	0.052302714		0.905898974	Control
CS0-6-2	0.056246167	0.037781624		0.905972209	Control
CS0-6-9	0.013974144	0.107243495		0.878782361	Control
CS0-7-14	0.305766417	0.044088756		0.650144827	Control
CS3-A-3-21	0.001267065	0.752969549	2.34E-05	0.245740028	3A
CS3-A-3-22	0.0121011	0.827483361	0.085747515	0.074668024	3A
CS3-A-3-23	0.079653558	0.243383317	0.618497052	0.058466073	3A
CS3-A-4-11	0.222694212	0.226237553	0.388143652	0.162924584	3A
CS3-A-4-12	0.000308556	0.785235228	0.135587217	0.078868999	3A
CS3-A-4-18	0.003231011	0.208860961	0.725133194	0.062774833	3A
CS3-A-5-10	0.016118866	0.094203517	0.868936238	0.020741379	3A
CS3-A-5-7	0.006267845	0.804946557	0.094154905	0.094630692	3A
CS3-B-1-26	0.000937548	0.048812279	0.936493102	0.013757071	3B
CS3-B-1-28	0.099628903	0.034036672	0.794209011	0.072125415	3B
CS3-B-12-15	0.052667028	0.009512529	0.865541324	0.072279119	3B
CS3-B-12-16	0.00158624	0.004591045	0.986961321	0.006861395	3B
CS3-B-2-3	0.000895994	0.000682128	0.996030787	0.002391091	3B
CS3-B-2-5	0.09159791	0.004492661	0.863401953	0.040507475	3B
CS3-B-5-36	0.003195864	0.026123467	0.95708085	0.013599819	3B
CS3-B-5-39	0.1337552	0.017846754	0.712076682	0.136321364	3B
CS3-C-10-14	0.041900503	0.031479241	0.590459793	0.336160463	3C
CS3-C-10-20	0.014455312	0.004777285	0.885155379	0.095612024	3C
CS3-C-13-4	0.030874735	0.010963533	0.918444376	0.039717355	3C
CS3-C-2-21	0.001650575	0.177541648	0.368021253	0.452786524	3C
CS3-C-2-22	0.039842266	0.014531118	0.668048554	0.277578062	3C
CS3-C-2-25	0.159305464	0.036480848	0.429540884	0.374672804	3C
CS3-C-7-35	0.163402937	0.128523574	0.48546867	0.22260482	3C
CS3-C-7-37	0.004783	0.005136674	0.972360713	0.017719613	3C
CS5-A-10-31	0.000859411	0.02514753	0.72273552	0.251257539	5A
CS5-A-10-33	0.034374204	0.008814646	0.342355946	0.614455204	5A
CS5-A-10-35	0.002145259	0.035704267	0.695854595	0.266295879	5A
CS5-A-12-22	0.004170159	0.018597195	0.290325188	0.686907459	5A
CS5-A-12-29	0.022693241	0.017264816	0.470126674	0.48991527	5A
CS5-A-3-15	0.073221013	0.006035425	0.163573678	0.757169884	5A
CS5-A-3-17	0.13067923	0.066077102	0.195133657	0.608110011	5A
CS5-A-9-6	0.349602431	0.041298427	0.271096272	0.33800287	5A
CS5-B-11-3	0.004310589	0.020046924	0.961642589	0.013999899	5B
CS5-B-11-6	0.036314896	0.117548257	0.699054031	0.147082816	5B
CS5-B-11-8	0.003782526	0.056741532	0.926979078	0.012496864	5B
CS5-B-4-22	0.017628141	0.093087226	0.867756784	0.021527849	5B
CS5-B-4-27	0.066311491	0.038649658	0.830435549	0.064603301	5B
CS5-B-4-39	0.003584976	0.044191865	0.929248782	0.022974377	5B
CS5-B-9-13	0.155126973	0.05051131	0.72302561	0.071336106	5B
CS5-B-9-15	0.10763636	0.045748147	0.744653159	0.101962334	5B
CS5-C-1-31	0.007077385	0.433323788	0.464202259	0.095396568	5C
CS5-C-1-33	0.095268898	0.184589067	0.609176521	0.110965514	5C
CS5-C-1-36	0.016103328	0.157953181	0.029666747	0.796276744	5C
CS5-C-10-5	0.23205677	0.038217028	0.409602754	0.320123447	5C
CS5-C-10-7	0.302823553	0.338386726	0.068952885	0.289836837	5C
CS5-C-13-11	0.065587641	0.689985927	0.125519037	0.118907395	5C
CS5-C-13-20	0.221332911	0.183334483	0.007367852	0.587964754	5C
CS5-C-8-23	0.089369903	0.432962591	0.015644419	0.462023087	5C
CS8-B-1-10	0.028911792	0.005631704	0.217166302	0.748290202	8B
CS8-B-1-4	0.079496503	0.02993609	0.356922213	0.533645193	8B
CS8-B-1-6	0.003227222	0.004693121	0.593063923	0.399015735	8B
CS8-B-8-14	0.021854928	0.096618024	0.211262309	0.670264739	8B
CS8-B-8-18	0.017200635	0.008673769	0.437004587	0.537121009	8B
CS8-B-8-34	0.063688214	0.069110166	0.5751483	0.292053321	8B
CS8-B-8-36	0.013427941	0.01388781	0.28580819	0.686876059	8B
CS8-B-9-25	0.004207401	0.001426877	0.473045967	0.521319755	8B
CS8-C-1-11	0.102838673	0.007125571	0.800700549	0.089335208	8C
CS8-C-1-13	6.50E-07	0.004264427	0.806411012	0.189323911	8C
CS8-C-3-31	0.01233908	0.002166809	0.653545707	0.331948405	8C
CS8-C-3-34	0.003843482	0.000733399	0.141342306	0.854080812	8C
CS8-C-4-1	0.027424137	0.004821578	0.746852789	0.220901495	8C
CS8-C-4-8	0.018703909	0.009155119	0.613722542	0.358418429	8C
CS8-C-5-24	0.007794146	0.002444874	0.350200376	0.639560604	8C
CS8-C-5-28	0.022937948	0.009715914	0.635498105	0.331848033	8C
CS11-A-3-1	0.033915449	0.001485742	0.701117295	0.263481515	11A
CS11-A-3-6	0.011297377	0.004835086	0.37159197	0.612275567	11A
CS11-A-5-11	0.002310981	0.080415938	0.813991365	0.103281716	11A
CS11-A-5-19	0.016714268	0.287335779	0.410592777	0.285357176	11A
CS11-A-6-37	0.001388917	0.002845204	0.325295462	0.670470417	11A
CS11-A-6-38	0.002869396	4.52E-06	0.414338703	0.582787384	11A
CS11-A-7-27	0.063993432	0.023478582	0.725423087	0.187104898	11A
CS11-A-7-28	0.015874169	0.021293621	0.348323634	0.614508576	11A
CS11-B-12-1	0.188265313	0.025539843	0.089450538	0.696744306	11B
CS11-B-12-10	0.081983497	0.020948269	0.627468695	0.269599539	11B
CS11-B-12-33	0.003494519	0.002193799	0.983895658	0.010416024	11B
CS11-B-12-5	0.000753209	0.009841087	0.41483522	0.574570484	11B
CS11-B-6-14	0.006272333	0.043013742	0.059902409	0.890811516	11B
CS11-B-6-16	0.024314759	0.030926985	0.046196439	0.898561817	11B
CS11-B-6-16b	0.025424104	0.022698342	0.861924392	0.089953163	11B
CS11-B-6-23	0.010722517	0.002593609	0.908991848	0.077692026	11B
CS11-B-6-25	0.060315559	0.056674589	0.35718678	0.525823072	11B
CS11-C-11-16	0.005207271	0.008408435	0.958160561	0.028223734	11C
CS11-C-11-18	0.001361856	0.023022864	0.961954716	0.013660564	11C
CS11-C-11-19	0.06114396	0.028256082	0.110307022	0.800292936	11C
CS11-C-11-26	0.000373727	0.01178743	0.973663635	0.014175208	11C
CS11-C-13-31	0.042763574	0.034007509	0.115106023	0.808122893	11C
CS11-C-13-40	0.038592825	0.016451971	0.89251783	0.052437374	11C
CS11-C-7-1	0.008741337	0.005066856	0.162363917	0.82382789	11C
CS11-C-7-3	0.000464222	0.029823516	0.920512518	0.049199744	11C
CS8-A-13-22	0.000312229	0.052794294	0.816925606	0.129967871	8A
CS8-A-13-26	0.037340356	0.079311673	0.036781703	0.846566268	8A
CS8-A-2-11	0.0113422	0.289387042	0.496908395	0.202362363	8A
CS8-A-2-15	0.000206295	0.011463648	0.933398735	0.054931322	8A
CS8-A-2-32	0.000371798	0.036283025	0.954401837	0.00894334	8A
CS8-A-2-40	0.0154937	0.151137076	0.80647672	0.026892504	8A
CS8-A-8-10	0.001424714	0.209294659	0.769391696	0.01988893	8A
CS8-A-8-4	0.009547826	0.061233117	0.719807514	0.209411543	8A
